lat,long,hour,crime_score,crowd_density,risk
16.522,80.6916,5,0.76,0.14,High
16.5239,80.661,20,0.65,0.43,Moderate
16.5427,80.6605,7,0.02,0.75,Safe
16.5258,80.6744,17,0.48,0.16,Moderate
16.5246,80.6621,22,0.94,0.1,High
16.5114,80.6744,6,0.66,0.82,Moderate
16.5403,80.6728,20,0.41,0.52,Moderate
16.5272,80.6537,23,0.8,0.29,High
16.5396,80.6947,16,0.59,0.89,Moderate
16.5138,80.6617,13,0.28,0.13,Safe
16.5311,80.6446,23,0.94,0.5,Moderate
16.5225,80.6409,13,0.58,0.51,Moderate
16.5197,80.6742,1,0.86,0.77,Moderate
16.5113,80.6581,10,0.42,0.55,Moderate
16.5248,80.6401,7,0.3,0.62,Safe
16.5496,80.6952,9,0.93,0.92,Moderate
16.5069,80.6869,20,0.04,0.96,Safe
16.5338,80.6569,7,0.49,0.2,Moderate
16.5112,80.699,10,0.82,0.72,Moderate
16.5215,80.6989,22,0.28,0.13,Safe
16.5459,80.6934,5,0.72,0.86,Moderate
16.5197,80.6859,12,0.19,0.18,Safe
16.5104,80.6896,16,0.92,0.9,Moderate
16.5124,80.6777,1,0.41,0.83,Moderate
16.5367,80.6682,9,0.46,0.84,Moderate
16.5091,80.6441,10,0.35,0.52,Safe
16.5008,80.6926,5,0.43,0.38,Moderate
16.5218,80.6921,1,0.1,0.18,Safe
16.503,80.6891,12,0.91,0.01,Moderate
16.5266,80.6771,23,0.07,0.2,Safe
16.5209,80.6449,22,0.72,0.47,Moderate
16.5259,80.6596,14,0.95,0.35,Moderate
16.5453,80.6628,5,0.02,0.84,Safe
16.5016,80.6769,6,0.87,0.89,Moderate
16.5272,80.6949,21,0.29,0.06,Safe
16.5205,80.6837,12,0.32,0.03,Safe
16.5227,80.698,12,0.74,0.83,Moderate
16.5471,80.6609,10,0.89,0.35,Moderate
16.5335,80.6994,0,0.05,0.9,Safe
16.5056,80.6836,10,0.32,0.63,Safe
16.5019,80.649,16,0.54,0.8,Moderate
16.5192,80.6823,20,0.78,0.53,Moderate
16.5041,80.6494,7,0.59,0.45,Moderate
16.5491,80.6926,17,0.88,0.78,Moderate
16.5383,80.6563,9,0.62,0.88,Moderate
